Column,"Substations,
Low Voltage
Lines &
Services","Land &
Buildings","Furniture &
Fittings, Tools &
Office Equip","Computers,
Comm.
Equip't & MIS","Motor
Vehicles",CWIP,Total
,"Ushs
Million","Ushs
Million","Ushs
Million","Ushs
Million","Ushs
Million","Ushs
Million","Ushs
Million"
At 1 January 2017,,,,,,,
Additions,,,,,,,
Transfer from CWIP,,,,,,,
Disposals,,,,,,,
Transfer to financial asset,,,,,,,
Translation difference,,,,,,,
At 31 December 2017,,,,,,,
Additions,,,,,,,
Transfer from CWIP,,,,,,,
Disposals,,,,,,,
Transfer to financial asset,,,,,,,
Translation difference,,,,,,,
At 31 December 2018,,,,,,,
Depreciation,,,,,,,
At 1 January 2017,,,,,,,
Charge for the year,,,,,,,
Disposals,,,,,,,
Translation difference,,,,,,,
At 31 December 2017,,,,,,,
Charge for the year,,,,,,,
Disposals,,,,,,,
Translation difference,,,,,,,
At 31 December 2018,,,,,,,
Net carrying amount,,,,,,,
At 31 December 2018,"853,517","13,131","5,083","3,504",227,"134,956","1,010,418"
At 31 December 2017,"884,416","13,476","3,993","4,258",472,"115,758","1,022,373"
