Column,2019,Column,2018,Column,2017,Column,2016,Column,2015,Column
Power plant,"Gener-
ated",Sales,"Gener-
ated",Sales,"Gener-
ated",Sales,"Gener-
ated",Sales,"Gener-
ated",Sales
HYDRO,,,,,,,,,,
Tana,97.84,95.61,97.81,95.56,72.81,70.97,112.02,109.27,111.08,108.23
Masinga,199.34,198.97,107.52,107.49,169.63,169.44,126.70,126.69,137.86,137.72
Kamburu,399.42,398.59,322.03,321.31,384.54,383.79,434.78,434.03,358.62,357.98
Gitaru,870.33,869.08,725.24,724.12,776.80,775.27,863.43,862.02,711.41,709.88
Kindaruma,193.91,193.17,179.95,179.23,184.05,183.20,209.47,208.27,165.97,165.30
Kiambere,"1,027.49","1,025.54",752.46,750.98,939.38,938.47,997.93,996.29,718.40,717.64
Turkwel,547.15,544.83,461.56,457.90,404.29,402.10,428.37,426.23,554.10,551.22
Sondu Miriu,258.28,257.52,388.99,388.03,282.08,281.55,419.52,418.59,376.45,375.54
Sang'oro,82.35,82.18,129.32,128.98,90.46,90.31,140.59,140.31,124.89,124.54
Sagana,6.63,6.63,5.69,5.69,4.18,4.18,7.62,7.62,8.20,7.55
Mesco,2.51,2.51,2.26,2.26,1.98,1.96,2.79,2.78,2.48,2.47
Wanjii,24.84,24.62,17.11,16.96,32.10,31.97,45.23,44.92,44.07,43.73
Gogo,7.91,7.78,7.29,7.20,5.27,5.21,6.12,6.05,5.63,5.56
Sosiani,0.14,0.14,0.72,0.71,0.63,0.63,1.17,1.15,0.87,0.86
Total Hydro,"3,718.14","3,707.16","3,197.95","3,186.40","3,348.20","3,339.03","3,795.75","3,784.24","3,320.03","3,308.22"
THERMAL,,,,,,,,,,
Kipevu I,202.40,196.81,243.81,238.26,217.96,211.28,132.86,128.56,161.17,156.51
,498.06,489.66,593.71,583.81,521.04,512.13,186.01,181.39,304.47,
"Embakasi/
Muhoroni Gas
Turbine (Active)",67.76,67.44,-,65.50,111.17,108.21,0.62,0.62,4.20,4.10
