Column,2019,2019,Column,2018,Column,2017,Column,2016,Column,2015,Column
Power plant,"Effective
Capacity","Avail-
ability","Load
factor","Avail-
ability","Load
factor","Avail-
ability","Load
factor","Avail-
ability","Load
factor","Avail-
ability","Load
factor"
HYDRO,,,,,,,,,,,
Sagana,1.50,99.50,50.46,59.44,43.30,58.20,31.82,85.26,52.79,87.70,57.45
Mesco,0.43,94.74,66.61,98.02,60.00,97.68,52.04,96.06,66.03,96.25,67.08
Wanjii,7.40,57.68,38.32,81.51,26.39,79.24,49.32,85.21,69.59,75.60,67.47
Tana,20.00,96.58,55.84,96.74,55.83,97.53,40.51,97.15,63.76,89.83,61.78
Masinga,40.00,79.47,56.89,77.62,30.68,83.14,48.36,99.83,36.06,96.42,39.25
Kamburu,90.00,81.05,50.66,86.90,40.85,93.91,48.68,98.31,52.54,91.06,45.41
Gitaru,216.00,94.63,46.00,96.84,38.33,94.84,40.97,95.85,42.68,97.94,37.52
Kindaruma,70.50,97.09,31.40,87.09,29.14,90.29,29.66,99.58,35.07,96.15,26.77
Kiambere,164.00,94.53,71.52,96.97,52.38,97.29,65.32,99.26,67.62,96.74,49.95
Turkwel,105.00,94.52,59.49,98.09,50.18,96.29,43.72,98.90,46.01,82.62,59.36
Sondu Miriu,60.00,97.38,49.14,98.34,74.01,97.05,53.57,99.59,79.60,97.58,71.45
Sang'oro,20.00,96.01,47.00,96.87,73.81,81.72,51.54,99.72,75.50,95.49,67.70
Gogo,1.70,73.40,53.12,75.96,48.93,68.08,34.96,95.86,38.70,63.71,39.66
Sosiani,0.30,6.08,5.33,41.66,27.40,49.97,23.81,48.86,33.25,45.65,57.82
"Total Effective
Capacity",796.83,,,,,,,,,,
"Weighted
Factors - Hydros",92.40,53.27,93.92,45.81,94.06,47.84,98.04,52.76,85.75,45.00,47.84
