Net debt as 1 July 2022,"12,655,202","(133,002,263)","(120,347,061)"
Cashflows,"2,237,921",-,"2,237,921"
Received in the year,-,"(12,471,626)","(12,471,626)"
Repaid in the year (including realised forex),-,"18,517,090","18,517,090"
Unrealised exchange loss in the year,-,"(21,909,225)","(21,909,225)"
Accrued interest,-,"(985,782)","(985,782)"
Expected credit loss on cash and bank balances,"(475,572)",-,"(475,572)"
Expected effect of forex on cash balances,"580,880",-,"580,880"
Net debt as at 30 June 2023,"14,998,431","(149,851,806)","(134,853,375)"
Net debt as 1 July 2021,"13,859,284","(144,529,241)","(130,669,957)"
Cashflows,"(1,419,361)",-,"(1,419,361)"
Received in the year,-,"(1,688,919)","(1,688,919)"
Repaid in the year (including realised forex),-,"9,941,428","9,941,428"
Unrealised exchange loss in the year,-,"3,274,469","3,274,469"
Accrued interest,-,"(1,130,429)","(1,130,429)"
Expected credit loss on cash and bank balances,"(271,268)",-,"(271,268)"
Expected effect of forex on cash balances,"215,279",-,"215,279"
Net debt as at 30 June 2022,"12,383,934","(134,132,692)","(121,748,758)"
