Name,Category,Salary,Directors Fees,Allowances,Honorarium,Total
,,Shs'000,Shs'000,Shs'000,Shs '000,Shs '000
Joshua Choge,"Chairman,
Non-Executive",-,600,"2,000",960,"3,560"
Rebecca Miano,"Managing
Director and
CEO","19,380",-,-,-,"19,380"
"Henry Rotich
(CS, The National
Treasury and
Planning)",Non-Executive,-,600,-,-,600
"Joseph Njoroge
(PS, Ministry of Energy)",Non-Executive,-,600,-,-,600
Ziporah Ndegwa,Non-Executive,-,600,"1,420",-,"2,020"
Musa Arusei,Non-Executive,-,600,"1,660",-,"2,260"
Kairu Bachia,Non-Executive,-,600,"1,640",-,"2,240"
Joseph Sitati,Non-Executive,-,600,"1,380",-,"1,980"
Maurice Nduranu,Non-Executive,-,600,"1,660",-,"2,260"
Phyllis Wakiaga,Non-Executive,-,600,480,-,"1,080"
Reginalda Wanyonyi,Non-Executive,-,600,"1,500",-,"2,100"
"Humphrey Muhu
(Alternate to Henry
Rotich)",Non-Executive,-,-,860,-,860
"William Mbaka -
Alternate to Joseph
Njoroge",Non-Executive,-,-,960,-,960
Total,,"19,380","6,000","13,560",960,"39,900"
