Column,2019,Column,2018,Column,2017,Column,2016,Column,2015,Column
Power plant,"Gener-
ated",Sales,"Gener-
ated",Sales,"Gener-
ated",Sales,"Gener-
ated",Sales,"Gener-
ated",Sales
THERMAL,,,,,,,,,,
"Embakasi/Muhoroni
Gas Turbine (Re -
Active)",0.68,0.68,-,-,37.86,39.91,97.36,97.36,84.97,84.97
Total Thermal,768.90,754.58,837.52,887.56,888.03,871.53,416.85,407.93,554.81,544.61
GEOTHERMAL,,,,,,,,,,
Olkaria I,298.17,285.14,256.00,247.35,200.59,194.69,345.52,331.06,348.68,332.69
Olkaria I AU,"1,115.66","1,068.86","1,138.40","1,133.13","1,008.65",968.35,"1,088.21","1,054.56",774.36,743.63
Olkaria II,838.05,796.39,852.70,831.50,833.92,790.69,857.18,814.38,798.29,756.40
Olkaria IV,"1,143.22","1,095.00","1,131.70","1,131.71",895.61,852.33,"1,021.03",975.51,"1,107.69","1,064.09"
Eburru,11.29,10.22,6.77,6.17,-,-,10.65,9.85,12.48,10.99
Wellhead 37 & 39,138.67,129.04,136.21,127.12,99.49,91.09,17.08,15.51,10.49,9.50
Wellhead 43,70.24,65.68,68.52,66.14,78.93,74.39,79.02,74.91,82.69,78.42
"Wellhead 914, 919,
905 & 915",316.57,297.17,344.70,324.84,331.12,311.81,272.85,266.38,114.98,108.49
WellHeads Total,525.48,491.90,549.43,518.10,509.54,477.28,368.95,356.81,208.16,196.41
Total Geothermal,"3,931.87","3,747.50","3,935.00","3,867.96","3,448.30","3,283.35","3,691.54","3,542.18","3,249.66","3,104.21"
ISOLATED THERMAL,,,,,,,,,,
Garissa,-,-,-,-,-,-,25.51,24.75,25.82,25.77
Lamu,-,-,-,-,-,-,6.46,6.33,7.07,6.95
"Total Isolated
Thermals",-,-,-,-,-,-,31.97,31.09,32.89,32.72
