Name,Category,Salary,Directors Fees,Allowances,Honorarium,Total
,,Shs'000,Shs'000,Shs'000,Shs '000,Shs '000
Joshua Choge,"Chairman,
Non-Executive",-,600,"1,540",960,"3,100"
"Albert Mugo
(Retired on 25
August 2017)","Managing
Director and
CEO","3,479",-,-,-,"3,479"
"Rebecca Miano
(Appointed on
30 October
2017)","Managing
Director and
CEO","11,267",-,-,-,"11,267"
"Henry Rotich
(CS, The
National
Treasury and
Planning)",Non-Executive,-,600,-,-,600
"Joseph Njoroge
(PS, Ministry of
Energy)",Non-Executive,-,600,-,-,600
"Dorcas Kombo
(Retired on
22 November
2017)",Non-Executive,-,238,940,-,"1,178"
"Ziporah
Ndegwa",Non-Executive,-,600,"1,360",-,"1,960"
Musa Arusei,Non-Executive,-,600,"1,960",-,"2,560"
Kairu Bachia,Non-Executive,-,600,"1,800",-,"2,400"
Joseph Sitati,Non-Executive,-,600,"1,580",-,"2,180"
"Maurice
Nduranu",Non-Executive,-,600,920,-,"1,520"
Phyllis Wakiaga,Non-Executive,-,600,700,-,"1,300"
