Column,2019,Column,2018,Column,2017,Column,2016,Column,2015,Column
Power plant,Installed,Effective,Installed,Effective,Installed,Effective,Installed,Effective,Installed,Effective
HYDRO,,,,,,,,,,
Tana,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
Masinga,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00
Kamburu,94.20,90.00,94.20,90.00,94.20,90.00,94.20,90.00,94.20,90.00
Gitaru,225.00,216.00,225.00,216.00,225.00,216.00,225.00,216.00,225.00,216.00
Kindaruma,72.00,70.50,72.00,70.50,72.00,70.50,72.00,70.50,72.00,70.50
Kiambere,168.00,164.00,168.00,164.00,168.00,164.00,168.00,164.00,168.00,164.00
Turkwel,106.00,105.00,106.00,105.00,106.00,105.00,106.00,105.00,106.00,105.00
Sondu Miriu,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00
Sang'oro,21.20,20.00,21.20,20.00,21.20,20.00,21.20,20.00,21.00,20.00
Small Hydros,11.75,11.33,11.75,11.30,11.75,11.30,13.70,11.30,13.70,11.29
Hydro Total,818.15,796.83,818.15,796.80,818.15,796.80,820.10,796.80,819.90,796.79
THERMAL,,,,,,,,,,
Kipevu I,73.50,60.00,73.50,52.83,73.50,60.00,73.50,60.00,73.50,60.00
Kipevu III,120.00,115.00,120.00,115.00,120.00,115.00,120.00,115.00,120.00,115.00
Muhoroni GT1*,30.00,28.00,30.00,28.00,30.00,28.00,30.00,27.00,30.00,27.00
Muhoroni GT2*,30.00,28.00,30.00,-,30.00,28.00,30.00,28.00,30.00,27.00
Garissa & Lamu,-,-,-,-,-,-,8.98,8.20,8.98,8.20
Thermal Total,253.50,231.00,253.50,195.83,253.50,231.00,262.48,238.20,262.48,237.20
