Column,2019,2019,Column,2018,Column,2017,Column,2016,Column,2015,Column
Power plant,"Effective
Capacity","Avail-
ability","Load
factor","Avail-
ability","Load
factor","Avail-
ability","Load
factor","Avail-
ability","Load
factor","Avail-
ability","Load
factor"
THERMAL,,,,,,,,,,,
Kipevu I,60.00,68.51,38.51,61.28,46.39,69.43,40.20,75.39,24.21,70.56,34.36
Kipevu III,115.00,86.86,49.44,89.60,58.93,93.05,50.84,97.84,17.66,95.57,29.68
"Total Effective
Capacity",175.00,,,,,,,,,,
"Weighted Factors -
Thermal",,80.57,45.69,79.89,54.63,84.95,47.19,89.09,20.21,87.00,31.28
GEOTHERMAL,,,,,,,,,,,
Olkaria I,44.00,70.69,77.36,70.71,64.94,55.75,74.08,93.21,87.65,91.05,86.32
Olkaria I AU,140.00,93.03,90.97,96.27,92.82,93.37,78.96,88.37,88.49,89.52,73.77
Olkaria II,101.00,90.50,94.72,94.44,96.38,94.33,89.37,96.93,93.19,90.71,85.49
Olkaria IV,140.00,94.51,93.22,98.03,91.29,95.38,68.75,94.78,83.04,91.05,86.77
Eburru,2.10,92.43,61.37,58.34,-,-,-,73.89,50.63,78.64,54.54
"Wellhead KWG12,
KWG13, 37 & 39",20.00,87.95,79.15,95.33,48.45,84.62,48.45,13.46,23.23,29.74,31.89
Wellhead 43,11.40,89.69,70.34,85.76,70.39,90.63,70.39,91.75,70.47,85.77,75.23
"Wellhead 914, 919,
905 & 915",45.00,89.61,80.31,94.85,77.63,84.16,77.63,90.53,78.12,91.86,67.47
"Total Effective
Capacity",503.50,,,,,,,,,,
"Weighted Factors -
Geothermal",,90.40,89.14,91.46,92.92,87.18,81.29,80.66,87.36,86.36,82.88
