Column,2019,Column,2018,Column,2017,Column,2016,Column,2015,Column
Power plant,Installed,Effective,Installed,Effective,Installed,Effective,Installed,Effective,Installed,Effective
GEOTHERMAL,,,,,,,,,,
Olkaria I,45.00,44.00,45.00,44.00,45.00,30.00,45.00,44.00,45.00,44.00
Olkaria I AU,150.50,140.00,150.50,140.00,150.50,140.00,150.50,140.00,150.52,140.00
Olkaria II,105.00,101.00,105.00,101.00,105.00,101.00,105.00,101.00,105.00,99.25
Olkaria IV,149.80,140.00,149.80,140.00,149.80,140.00,149.80,140.00,149.84,140.00
Eburru,2.50,2.10,2.40,2.10,2.50,-,2.50,2.30,2.50,2.30
Wellhead 37,15.50,15.00,15.50,15.00,15.50,15.00,10.50,9.40,5.50,4.40
Wellhead 43,12.80,11.40,12.80,11.40,12.80,11.45,12.80,12.40,12.80,12.80
Wellhead 914,27.80,25.00,27.80,25.00,27.80,25.80,27.80,25.78,27.80,27.80
Wellhead 915,10.00,10.00,10.00,10.00,10.00,10.00,20.00,18.90,10.00,10.00
Wellhead 919,5.00,5.00,5.00,5.00,5.00,4.00,,,,
Wellhead 905,5.00,5.00,5.00,5.00,5.00,3.60,,,,
Wellhead 39,5.00,5.00,5.00,5.00,5.00,2.00,,,,
"Geothermal
Total",533.90,503.50,533.80,503.50,533.90,482.85,523.90,493.78,508.96,480.55
WIND,,,,,,,,,,
"Ngong I Phase
I & II",11.90,11.90,11.90,11.90,11.90,11.90,11.90,11.90,11.90,11.90
Ngong II,13.60,13.60,13.60,13.60,13.60,13.60,13.60,13.60,13.60,13.60
Wind Total,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50
KenGen TOTAL,"1,631.05","1,556.83","1,630.95","1,521.63","1,631.05","1,536.15","1,631.98","1,554.28","1,616.84","1,540.04"
