VALUE ADDED,"2020
KShs millio",n,"2021
Restated
KShs million",Column,"2022
KShs million",Column
Electricity Revenue,"33,783",,"34,901",,"32,724",
Steam Revenue,"5,550",,"5,227",,"5,119",
Revenue from branch,440,,"1,784",,"1,547",
"Other income and net
gains","6,905",,"1,936",,"(2,936)",
Net Financing costs,"(6,813)",,"(1,115)",,"3,387",
Wealth Created,"39,865",,"42,733",,"39,840",
"Distribution of
Wealth",KShs millio,n Distribution,KShs million,Distribution,KShs million,Distribution
"Employees -Salaries,
Wages, and other
benefits","7,082",17.77%,"7,685",17.98%,"8,247",20.70%
Government-Taxes,"(4,587)",(11.51%),"13,573",31.53%,"3,222",8.09%
"Shareholders'
Dividends","1,978",4.96%,"1,978",4.63%,"1,319",3.31%
Retention to support future Business Growth:,,,,,,
Retained Earnings,"16,399",41.1%,(147),(0.35%),"3,400",(8.53%)
"Depreciation and
Amortization","12,030",30.18%,"11,520",26.96%,"12,462",31.28%
"Suppliers and other
expenses","6,756",16.95%,"7,938",18.57%,"10,859",27.62%
"Corporate Social
Responsibility",207,0.52%,287,0.67%,332,0.83%
Wealth Distributed,"39,865",100.00%,"42,733",100.00%,"39,840",100.00%
