Column,2022,Column,2023,Column
,Kshs million,,Kshs million,
Electricity Revenue,"30,974",,"38,784",
Steam Revenue,"5,119",,"6,129",
Revenue from branch,"1,547",,759,
Other income and net gains,338,,"2,682",
Net Financing costs,112,,"(1,043)",
Wealth Created,"38,090",,"47,311",
Distribution of Wealth,KShs million,Distribution,KShs million,Distribution
"Employees -Salaries, Wages,
and other benefits","8,247",22%,"9,206",19%
Government-Taxes,"2,810",7%,"3,508",7%
Dividends Shareholders',"1,319",3%,"1,978",4%
"Retention to support future
Business Growth:",,,,
Retained Earnings,"2,063",5%,"3,038",6%
Depreciation and Amortization,"12,462",33%,"15,801",33%
Suppliers and other expenses,"10,857",29%,"13,607",29%
Corporate Social Responsibility,332,1%,173,0.4%
Wealth Distributed,"38,090",100%,"47,311",100%
