"25,618,247","(116,870,508)","(91,252,261)"
"4,513,663",-,"4,513,663"
-,"(5,922,033)","(5,922,033)"
-,"8,320,538","8,320,538"
,"1,120,234","1,120,234"
-,"(6,955,156)","(6,955,156)"
-,"(890,486)","(890,486)"
"(807,041)",-,"(807,041)"
"(7,724)",-,"(7,724)"
"29,317,145","(121,197,411)","(91,880,266)"
"15,474,003","(148,866,024)","(133,392,021)"
"10,156,401",-,"10,156,401"
-,"(1,620,282)","(1,620,282)"
-,"9,701,910","9,701,910"
,"2,334,683","2,334,683"
-,"5,123,799","5,123,799"
-,"16,455,406","16,455,406"
-,"(913,584)","(913,584)"
"(767,905)",-,"(767,905)"
"(12,157)",-,"(12,157)"
"24,850,342","(117,784,092)","(92,933,750)"
