Column,"LRC
Total life
insurance
Excluding contracts
loss Loss measured
component component Total (LRC) LIC under GMM",Column,Column,Column,Column
2024,,,,,
Balance at the beginning of the year,118,747,865,–,865
Opening insurance contract liabilities,118,747,865,–,865
Insurance revenue,(306),–,(306),–,(306)
Insurance service expense,179,133,312,198,510
Incurred claims,–,–,–,73,73
Directly attributable expenses1,–,–,–,125,125
Losses on onerous contracts at initial recognition,–,146,146,–,146
Amortisation of loss component,–,(111),(111),–,(111)
"Changes to loss component on subsequent
measurement",–,98,98,–,98
Amortisation of insurance acquisition cash flows,179,–,179,–,179
Insurance service result,(127),133,6,198,204
"Net finance expense from insurance contracts
issued",312,32,344,–,344
"Total recognised in the statement of
comprehensive income",185,165,350,198,548
Investment components,(18),–,(18),18,–
Cash flows,447,–,447,(215),232
Premiums received,798,–,798,–,798
Claims paid,–,–,–,(90),(90)
Directly attributable expenses paid,–,–,–,(125),(125)
Insurance acquisition expenses paid,(351),–,(351),–,(351)
Balance at the end of the year 732 912 1 644 1 1 645,,,,,
Closing insurance contract liabilities 732 912 1 644 1 1 645,,,,,
