"Long-term
business","Short-term
business","Holding
company","Consolidation
adjustments(1)","IFRS
reported"
2 356 478,4 410 766,–,(38 587),6 728 657
2 243 871,722 509,200 000,(317 270),2 849 110
492 948,842 641,–,–,1 335 589
5 093 297,5 975 916,200 000,(355 857),10 913 356
(3 794 613),(2 438 569),–,–,(6 233 182)
965 187,–,–,–,965 187
(854 885),–,–,–,(854 885)
(596 000),(1 090 566),–,–,(1 686 566)
(1 009 110),(1 727 313),(190 210),145 057,(2 781 576)
(2 971),(20 660),–,12 843,(10 788)
(199 095),698 808,9 790,(197 957),311 546
41 781,(270 887),–,(613),(229 719)
(157 314),427 921,9 790,(198 570),81 827
–,27 712,–,–,27 712
(157 314),455 633,9 790,(198 570),109 539
–,(12 757),–,–,(12 757)
(157 314),442 876,9 790,(198 570),96 782
