Column,GROUP,Column,COMPANY,Column
,"31
December
2013","31
December
2012","31
December
2013","31
December
2012"
,Shs’000,Shs’000,Shs’000,Shs’000
Profit for the year,"1,105,920","857,849","155,602","389,102"
"Other comprehensive income/ (loss) for the year
net of tax","32,011","(108,208)",-,-
Items that can be re-classified into profit or loss:,,,,
Foreign currency translation operations,"5,229","1,784",-,-
Items that cannot be re-classified into profit or loss:,,,,
Gain on revaluation of land and building,"38,260","54,211",,
Recognition of deferred income tax on revaluation,"(11,478)","(164,203)",-,-
Total comprehensive income for the year,"1,137,931","749,641","155,602","389,102"
Total comprehensive income attributable to:,,,,
Equity holders of parent,"1,056,918","684,528","155,602","389,102"
Non-controlling interests,"81,013","65,113",-,-
Total comprehensive income for the year,"1,137,931","749,641","155,602","389,102"
