Column,December 2012,Column,Column
,"Kenya
business
Shs ‘000","Tanzania
business
Shs ‘000","Total
Shs ‘000"
Net insurance premium revenue,"3,408,824","573,562","3,982,386"
,"3,608,302","458,711","4,067,013"
Commissions earned,"462,996","197,445","660,441"
Investment income,"3,119,414","61,017","3,180,431"
Administration fees,"13,292",-,"13,292"
Other income,"12,600","200,249","212,849"
Total income,"7,017,126","1,032,273","8,049,399"
Net insurance benefits and claims,"(3,470,853)","(290,622)","(3,761,475)"
Total expenses and commissions,"(2,661,967)","(475,582)","(3,137,549)"
Results of operating activities,"884,306","266,069","1,150,375"
Earnings from associate,-,"23,704","23,704"
Profit before income tax,"884,306","289,773","1,174,079"
Income tax expense,"(166,301)","(149,929)","(316,230)"
Profit for the year,"718,005","139,844","857,849"
Total Assets,"24,143,508","3,229,591","27,373,100"
Property and equipment,"1,085,880","11,719","1,097,599"
Intangible assets,"67,224",270,"67,494"
Investment property,"710,449",-,"710,449"
Financial investments,"13,500,017","583,797","14,083,814"
Reinsurers' share of insurance liabilities,"909,534","1,131,358","2,040,892"
Total Liabilities,"20,375,533","2,442,336","22,817,869"
Insurance contract liabilities,"5,338,000","2,185,118","7,523,118"
Payable under deposit administration contracts,"10,465,499",-,"10,465,499"
Unearned premium reserves,"1,432,543","892,730","2,325,273"
Borrowings,"479,796",-,"479,796"
Additions to property and equipment,"92,511","7,473","99,984"
Additions to intangible assets,"15,937",-,"15,937"
