Column,Column,GROUP,Column,COMPANY,Column
,,"31
December
2013","Restated 31
December
2012","31
December
2013","31
December
2012"
,Notes,Shs’000,Shs’000,Shs’000,Shs’000
Gross earned premium revenue,6,"7,397,982","6,953,842",-,-
Less: Outward reinsurance,,"(3,330,854)","(2,971,456)",-,-
Net insurance premium revenue,,"4,067,128","3,982,386",-,-
,,"3,311,482","4,067,013","200,000","500,000"
Commissions earned,,"657,492","660,441",-,-
Investment income,7,"2,629,519","3,180,431","200,000","500,000"
Administration fees,,"15,897","13,292",-,-
Other income,8,"8,574","212,849",-,-
Total income,,"7,378,610","8,049,399","200,000","500,000"
Claims and policyholder benefits payable,9,"(8,088,006)","(3,644,939)",-,-
Change in insurance contract liabilities,,"(490,432)","(833,627)",-,-
Amounts recoverable from reinsurers,,"5,501,597","717,091",-,-
Net insurance benefits and claims,,"(3,076,841)","(3,761,475)",-,-
Total expenses and commissions,,"(2,995,520)","(3,137,549)","(44,398)","(110,898)"
Commissions payable,,"(833,885)","(892,089)",-,-
Finance costs,10,"(25,512)","(95,179)","(25,512)","(97,254)"
Other operating expenses,11,"(2,136,123)","(2,150,281)","(18,886)","(13,644)"
Result of operating activities,,"1,306,249","1,150,375","155,602","389,102"
Earnings from associates,13,"(7,387)","23,704",-,-
Profit before income tax,,"1,298,862","1,174,079","155,602","389,102"
Income tax expense,14,"(192,942)","(316,230)",-,-
Profit for the year,,"1,105,920","857,849","155,602","389,102"
Attributable to :,,,,,
Owners of the parent,,"1,024,907","801,911","155,602","389,102"
Non-controlling interests,,"81,013","55,938",-,-
,,"1,105,920","857,849","155,602","389,102"
Basic and diluted earnings per share (Shs),15,2.15,1.66,0.30,0.76
