"Long-term
business","Short-term
business","Holding
company","Consolidation
adjustments(1)","IFRS
reported"
2 565 156,4 879 192,–,(83 396),7 360 952
1 107 312,771 350,350 000,(491 822),1 736 840
407 801,961 081,–,–,1 368 882
4 080 269,6 611 623,350 000,(575 218),10 466 674
(2 717 723),(2 570 357),–,–,(5 288 080)
730 408,–,–,–,730 408
(392 816),–,–,–,(392 816)
(684 500),(1 208 862),–,–,(1 893 362)
(1 071 998),(1 914 514),(174 726),214 788,(2 946 450)
(2 555),(19 643),–,11 441,(10 757)
(58 916),898 247,175 274,(348 989),665 617
(11 452),(275 123),–,(304),(286 879)
(70 368),623 124,175 274,(349 293),378 738
–,67 718,–,–,67 718
(70 368),690 842,175 274,(349 293),446 456
–,(71 965),–,–,(71 965)
(70 368),618 877,175 274,(349 293),374 491
