"Year ended 31 December 2013 (Shs
‘000)",Column,"Shs 0m to Shs
15m","Shs 15m to
Shs 250m","Shs 250m to
Shs 1,000",Total
General insurance business,,,,,
Personal accident,Gross,"14,173,227","16,692,437","2,768,257","33,633,921"
,Net,"14,168,660","16,684,725","2,768,257","33,621,642"
Motor,Gross,"21,900,573","369,896",-,"22,270,469"
,Net,"19,560,681","369,896",-,"19,930,577"
Fire,Gross,"49,740,129","85,697,718","561,490,366","696,928,213"
,Net,"48,660,957","69,696,055","13,777,509","132,134,521"
Other,Gross,"30,724,737","37,603,286","169,436,956","237,764,979"
,Net,"31,314,452","69,647,476","3,725,066","104,686,994"
Life assurance business,,,,,
Ordinary life,Gross,"21,857,014","120,000","134,165","22,111,179"
,Net,"18,762,019",-,-,"18,762,019"
Group life,Gross,"87,309,197","19,607,315","800,000","107,716,512"
,Net,"63,669,452",-,-,"63,669,452"
Total,Gross,"225,704,877","160,090,652","734,629,744","1,120,425,273"
,Net,"196,136,221","156,398,152","20,270,832","372,805,205"
"Year ended 31 December 2013 (Shs
‘000)",,"Shs 0m to Shs
15m","Shs 15m to
Shs 250m","Shs 250m to
Shs 1,000",Total
General insurance business,,,,,
Personal accident,Gross,"20,172,000","12,599,300",-,"32,771,300"
,Net,"16,137,600","10,079,440",-,"26,217,040"
Motor,Gross,"22,947,740","350,078","95,611,015","118,908,833"
,Net,"20,000,000","350,078","11,419,400","31,769,478"
Fire,Gross,"503,478,339","85,231,140","3,464,500","592,173,979"
,Net,"40,358,131","69,498,900","2,771,600","112,628,631"
Other,Gross,"181,287,493","40,920,900","7,462,600","229,670,993"
,Net,"56,569,169","35,579,700","3,770,880","95,919,749"
Life assurance business,,,,,
Ordinary life,Gross,"20,177,761","274,165",-,"20,451,926"
,Net,"17,001,846","12,000",-,"17,013,846"
Group life,Gross,"55,751,491","17,505,081","300,000","73,556,572"
,Net,"34,068,563","1,460,000","2,000","35,530,563"
Total,Gross,"803,814,824","156,880,664","106,838,115","1,067,533,603"
,Net,"184,135,309","116,980,118","17,963,880","319,079,307"
