Column,"Buildings on
leasehold
land","Motor
vehicles","Furniture
and
equipment","Computer
equipment",Total
Cost / valuation,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
As at 1 January 2014,"773,199","63,740","723,012","282,651","1,842,602"
Additions,-,"9,551","45,957","3,540","59,048"
Disposals,-,"(1,872)",(467),-,"(2,339)"
Reclassification from investment,,,,,
property (Note 21),"3,632",-,-,-,"3,632"
Revaluation gain,"8,000",-,-,-,"8,000"
Currency adjustment,-,(837),"(3,197)",-,"(4,034)"
As at 31 December 2014,"784,831","70,582","765,305","286,191","1,906,909"
Depreciation,,,,,
At 1 January 2014,"3,905","45,610","489,819","218,367","757,701"
Charge for the year,-,"11,794","71,224","9,156","92,174"
Disposals,-,"(1,872)",(457),-,"(2,329)"
Currency adjustment,-,"(1,198)","(3,111)",-,"(4,309)"
As at 31 December 2014,"3,905","54,334","557,475","227,523","843,237"
Net book amount,,,,,
As at 31 December 2014,"780,926","16,248","207,830","58,668","1,063,672"
