Column,December 2013,Column,Column
,"Kenya
business
Shs ‘000","Tanzania
business
Shs ‘000","Total
Shs ‘000"
Net insurance premium revenue,"3,402,096","665,032","4,067,128"
Commissions earned,"474,879","182,613","657,492"
Investment income,"2,402,345","227,174","2,629,519"
Administration fees,"15,897",-,"15,897"
Other income,"2,456","6,118","8,574"
,"2,895,577","415,905","3,311,482"
Total income,"6,297,673","1,080,937","7,378,610"
Net insurance benefits and claims,"(2,730,662)","(346,179)","(3,076,841)"
Total expenses and commissions,"(2,468,377)","(527,143)","(2,995,520)"
Results of operating activities,"1,098,634","207,615","1,306,249"
Earnings from associate,-,"(7,387)","(7,387)"
Profit before income tax,"1,098,634","200,228","1,298,862"
Income tax expense,"(195,246)","2,304","(192,942)"
Profit for the year,"903,388","202,532","1,105,920"
Total Assets,"26,211,010","5,241,180","31,452,190"
Property and equipment,"1,078,339","6,562","1,084,901"
Intangible assets,"51,976",-,"51,976"
Investment property,"842,200",-,"842,200"
Financial investments,"15,456,123","492,953","15,949,076"
Reinsurers' share of insurance liabilities,"940,252","2,881,852","3,822,104"
Total Liabilities,"21,683,032","4,304,276","25,987,308"
Insurance contract liabilities,"7,676,812","2,644,115","10,320,927"
Payable under deposit administration contracts,"11,103,757",-,"11,103,757"
Unearned premium reserves,"1,616,211","1,048,343","2,664,554"
Additions to property and equipment,"42,588","2,096","44,684"
Additions to intangible assets,"4,285",-,"4,285"
Additions to intangible assets,"13,909","2,028","15,937"
