Column,Column,Group,Column,Company,Column
,,2021,2020,2021,
Interests in subsidiaries,7,–,–,2 571 541,2 571 541
Intangible assets,3,1 415 357,1 419 927,–,–
Owner-occupied properties,4.2,1 216 000,1 018 828,–,–
Investment properties,4.3,–,199 600,–,–
Equipment,5,183 423,183 363,–,–
Right-of-use assets,6,62 964,86 928,–,–
Deferred taxation,14,187 820,219 764,–,–
Financial investments,9,22 290 725,23 357 471,–,–
Policy and staff loans receivable,9,1 648 024,1 712 273,–,–
Deferred acquisition costs,8,147 548,117 389,–,–
Reinsurance assets,,3 393 132,3 165 004,–,–
Short-term insurance,15,3 226 301,3 162 100,–,–
Long-term insurance,12,166 831,2 904,–,–
Current taxation,33,157 946,107 817,–,–
"Prepayments, insurance and other receivables",10,1 292 202,1 344 148,–,16 733
Investment properties held for sale,4.4,625 263,633 250,–,–
Cash and cash equivalents,11,7 855 904,5 735 467,10 151,10 319
,,40 476 308,39 301 229,2 581 692,
Lease liabilities,16,78 863,99 501,–,–
Long-term policyholder liabilities,,20 375 024,19 557 712,–,–
Insurance contracts,12,6 791 125,6 728 593,–,–
"Investment contracts with discretionary participation
features",12,3 065 074,3 928 866,–,"–
–"
Financial liabilities under investment contracts,13,10 518 825,8 900 253,–,
Deferred taxation,14,1 050 886,1 117 704,–,–
Short-term insurance liabilities,15,7 615 459,7 111 631,–,–
Intergroup balances with subsidiaries,7,–,–,24 796,44 469
Insurance and other payables,18,2 396 051,2 539 315,14 853,21 871
Employee benefits,17,145 301,170 181,–,–
,,31 661 584,30 596 044,39 649,
Ordinary shareholders’ equity,,8 501 900,8 405 118,2 542 043,2 532 253
Share capital,21,535 707,535 707,535 707,535 707
Share premium,21,1 490 480,1 490 480,1 490 480,"1 490 480
506 066
–"
Retained surplus,,4 478 329,4 255 321,515 856,
Other reserves,,1 997 384,2 123 610,–,
Non-controlling interests,30.1,312 824,300 067,–,–
,,8 814 724,8 705 185,2 542 043,
,,40 476 308,39 301 229,2 581 692,
