Column,Group,Column,Company,Column
,"2014
Shs’ 000","2013
Restated
Shs’ 000","2014
Shs’ 000","2013
Shs’ 000"
Interest from Government securities,"1,225,948","1,090,663",-,-
Interest on bank deposits,"498,697","462,563",-,-
"interest from corporate bonds and
commercial paper","216,550","182,665",-,-
Interest on loans and receivables,"33,157","34,785",-,-
Rental income from investment property,"111,454","94,546",-,-
Gain on sale of financial investments,"203,421","459,099",-,-
Fair value gain on investment property,"154,432","189,682",-,-
Interest on policy loans,"89,086","99,241",-,-
Dividend income,"96,664","321,362","230,000","200,000"
Others,"338,845","(305,087)",-,-
,"2,968,254","2,629,519","230,000","200,000"
