Column,Column,GROUP,Column,Column,COMPANY,Column
,,"31
December
2013","Restated 31
December
2012","Restated 31
December
2011","31
December
2013","31
December
2012"
,Notes,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
Ordinary share capital,16,"515,270","515,270","515,270","515,270","515,270"
Share premium,16,"1,185,969","1,701,239","1,701,239","1,185,969","1,701,239"
Revenue reserve,17,"2,607,295","1,590,478","1,114,735","852,512","696,911"
Proposed dividend,17,"515,270","206,108",-,"515,270","206,108"
Other reserves,17,"266,317","226,216","134,679",-,-
Equity attributable to equity holders,,"5,090,121","4,239,311","3,465,923","3,069,021","3,119,528"
Non-controlling interests,,"374,761","314,920","286,715",-,-
Total equity,,"5,464,882","4,554,231","3,752,638","3,069,021","3,119,528"
REPRESENTED BY:,,,,,,
Assets,,,,,,
Property and equipment,20,"1,084,901","1,097,599","1,056,551",-,-
Intangible assets,22,"51,976","67,494","119,966",-,-
Goodwill,18,"1,254,995","1,254,995","1,254,995",-,-
Investment property,21,"842,200","710,449","623,553",-,-
Investment in associates,13,"70,041","61,948","355,400",-,-
Investment in subsidiaries,13,-,-,-,"3,202,333","3,202,333"
Financial investments,19,"15,949,076","14,083,814","13,956,773",-,-
Receivable arising from reinsurance,,"439,166","224,848","216,266",-,-
"Receivable arising from direct
insurance",,"775,189","662,212","740,559",-,-
Reinsurers’ share of insurance liabilities,23,"3,822,104","2,040,892","2,117,135",-,-
Deferred acquisition costs,,"123,273","95,219","137,510",-,-
Other receivables,,"461,873","988,818","347,640",-,"500,000"
Deferred income tax,30,"65,037","50,119","37,400",-,-
Current income tax,,"59,376",-,"39,883",-,-
Cash and cash equivalents,24,"6,452,983","6,033,693","2,892,146","37,223","54,638"
Total assets,,"31,452,190","27,372,100","23,895,777","3,239,556","3,756,971"
Liabilities,,,,,,
Insurance contract liabilities,25,"10,320,927","7,523,118","6,319,993",-,-
Deposit administration liabilities,26,"11,103,757","10,465,499","9,300,122",-,-
Unearned premium reserve,27,"2,664,554","2,325,273","2,242,031",-,-
Creditors arising from direct insurance,,"34,616","45,411","73,094",-,-
Creditors arising from reinsurance,,"515,205","354,671","475,480",-,-
Deferred acquisition income,,"76,324","82,829","77,867",-,-
Other liabilities,28,"913,290","1,030,910","834,025","170,535","157,647"
Deferred income tax,,"352,214","340,736","172,874",-,-
Current income tax,,"6,421","169,626","39,941",-,-
Bank overdraft,,-,-,"70,091",,
Borrowings,32,-,"479,796","504,621",-,"479,796"
Total liabilities,,"25,987,308","22,817,869","20,110,139","170,535","637,443"
Net assets,,"5,464,882","4,554,231","3,785,638","3,069,021","3,119,528"
