Year ended 31 December 2013,"Share
capital","Share
premium","Revenue
reserve","Proposed
dividend",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
As at 1 January 2013,"515,270","1,701,239","696,911","206,108","3,119,528"
Total comprehensive income for the year,,,,,
Profit for the year,-,-,"155,601",-,"155,601"
Distribution to owners,,,,,
Dividend Paid,-,,-,"(206,108)","(206,108)"
Proposed dividend to controlling interests,-,"(515,270)",-,"515,270",-
As at 31 December 2013,"515,270","1,185,969","852,512","515,270","3,069,021"
Year ended 31 December 2012,"Share
capital","Share
premium","Revenue
reserve","Proposed
dividend",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"515,270","1,701,239","513,917",-,"2,730,426"
As at 1 January 2013,,,,,
Total comprehensive income for the year,-,-,"389,102",-,"389,102"
Profit for the year,,,,,
Distribution to owners,-,-,"(206,108)","206,108",-
Dividend Paid,,,,,-
Proposed dividend to controlling interests,"515,270","1,701,239","696,911","206,108","3,119,528"
As at 31 December 2013,"515,270","1,185,969","852,512","515,270","3,069,021"
