Column,Column,GROUP,Column
,,"31
December
2013","Restated 31
December
2012"
,Notes,Shs’000,Shs’000
Cash generated from operations,31,"1,011,348","5,663"
Net interest received,,"1,869,917","1,692,278"
Income tax paid,,"(376,310)","(178,541)"
Net cash generated from operating activities,,"2,504,955","1,519,400"
Investment in associate,13,"(9,979)",-
Additions to investment property,21,-,"(4,468)"
Additions to property and equipment,20,"(44,684)","(99,984)"
Additions to intangible assets,22,"(4,285)","(15,937)"
Proceeds from the sale of equipment,,-,"26,093"
Net investment in quoted shares,,"(747,729)","1,907,713"
Net investment in unquoted shares,,"54,630","12,066"
Net investment in government securities and corporate bonds,,"(460,234)","(1,323,623)"
Net investment in loans and receivables,,"(251,745)","(30,212)"
Proceeds from disposal of investments in Alliance Insurance,,-,"440,508"
corporation ltd.,,-,-
"Dividend, rental and other income received",,"87,641","845,976"
Cash flows (used in) /from investing activities,,"(1,376,385)","1,758,132"
Cash flows used in financing activities,,"(707,076)","(131,827)"
Dividend paid,,"(227,280)","(36,908)"
Cash in borrowings and overdrafts,,"(479,796)","(94,919)"
Net increase in cash and cash equivalents,,"421,494","3,145,705"
Currency translation differences,,"(2,201)","(4,158)"
Cash and cash equivalents at 1 January,,"6,033,693","2,892,146"
Cash and cash equivalents at 31 December,,"6,452,983","6,033,693"
Consolidated statement of cash flows,,,
,,COMPANY,
,,"31
December
2013","Restated 31
December
2012"
,Notes,Shs’000,Shs’000
Cash generated from/(used in) operations,31,"668,486","(108,755)"
Net cash generated from operating activities,,"668,486","(108,755)"
Cash flows from/(used in) investing activities,,"668,486","(108,755)"
Cash flows used in financing activities,,"(685,901)","(24,825)"
Dividend paid,,"(206,105)",-
Cash in borrowings,,"(479,796)","(24,825)"
Net (decrease) in cash and cash equivalents,,"(17,415)","(133,580)"
Cash and cash equivalents at 1 January,,"54,638","188,218"
Cash and cash equivalents at 31 December,,"37,223","54,638"
