Column,December 2013,Column,Column
,"Long term
business
Shs ‘000","General
business
Shs ‘000","Total
Shs ‘000"
Net insurance premium revenue,"1,474,498","2,592,630","4,067,128"
Commissions earned,"91,426","566,066","657,492"
Investment income,"2,028,137","601,382","2,629,519"
Administration fees,"15,899",(2),"15,897"
Other income,-,"8,574","8,574"
,"2,135,462","1,176,020","3,311,482"
Total income,"3,609,959","3,768,651","7,378,610"
Net insurance benefits and claims,"(2,020,233)","(1,056,608)","(3,076,841)"
Total expenses and commissions,"(1,153,089)","(1,842,431)","(2,995,520)"
Results of operating activities,"436,637","869,612","1,306,249"
Earnings from associate,-,"(7,387)","(7,387)"
Profit before income tax,"436,637","862,225","1,298,862"
Income tax expense,"(20,176)","(172,766)","(192,942)"
Profit for the year,"416,461","689,459","1,105,920"
Total Assets,"20,281,921","11,170,269","31,452,190"
Property and equipment,"658,930","425,971","1,084,901"
Intangible assets,"48,254","3,722","51,976"
Investment property,"898,000","(55,800)","842,200"
Financial investments,"13,271,235","2,677,841","15,949,076"
Reinsurers' share of insurance liabilities,"109,857","3,712,247","3,822,104"
Total Liabilities,"18,760,111","7,227,197","25,987,308"
Insurance contract liabilities,"6,558,520","3,762,407","10,320,927"
Payable under deposit administration contracts,"11,103,758",(1),"11,103,757"
Unearned premium reserves,"118,709","2,545,845","2,664,554"
Additions to property and equipment,"20,265","24,419","44,684"
Additions to intangible assets,"2,092","2,193","4,285"
