Column,"Buildings on
leasehold
land","Motor
vehicles","Furniture
and
equipment","Computer
equipment",Total
Cost / valuation,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
As at 1 January 2013,"725,732","69,099","695,642","274,287","1,764,760"
Additions,"8,045",-,"28,411","8,228","44,684"
Disposals,"(1,769)","(5,396))","(2,949)",(164),"(10,278)"
Reclassification from investment,,,,,
property (Note 21),"2,931",-,-,-,"2,931"
Revaluation gain,"38,260",-,-,-,"38,260"
Currency adjustment,-,37,"1,908",300,"2,245"
Other transfers,-,-,-,-,-
As at 31 December 2013,"773,199","63,740","723,012","282,651","1,842,602"
Depreciation,,,,,
As at 1 January 2013,946,"37,818","419,197","209,200","667,161"
Charge for the year,"4,595","13,161","73,324","9,320","100,400"
Disposals,"(1,636)","(5,395)","(2,828)",(153),"(10,012)"
Currency adjustment,-,26,126,-,152
As at 31 December 2013,"3,905","45,610","489,819","218,367","757,701"
Net book amount,,,,,
As at 31 December 2013,"769,294","18,130","233,193","64,284","1,084,901"
