Column,GROUP,Column
,"2013
Shs’ 000","2012
Shs’ 000"
Profit before income tax,"1,298,862","1,174,079"
Tax at statutory tax rate of 30% (2012- 30%),"389,659","352,224"
Tax effect of:,,
Income not subjected to tax,"(127,115)","67,231"
Prior year tax under/(over) provision,-,"(40,928)"
Expenses not deductible for tax purposes,"(71,818)","40,410"
Income from associates,"2,216","(15,058)"
Difference between transfer from long term business and accounting profit,-,"(87,649)"
Income tax expense,"192,942","316,230"
