2021,2020,2021,2020
Shs’000,Shs’000,Shs’000,Shs’000
"27,695,508","25,983,424","17,219,059","14,831,865"
"167,630,504","147,119,743","124,309,703","111,118,568"
"16,136,223","19,945,900","3,850,652","10,667,900"
"220,425,335","208,592,888","159,180,869","154,998,068"
"2,574,967","2,666,410","1,480,866","1,475,884"
"675,803","721,250","356,697","397,282"
"6,835,347","6,436,930","4,612,727","4,288,886"
"173,372","173,372",-,-
"3,437,595","3,640,987","1,784,519","1,867,738"
"570,906","1,237,081","39,450","557,959"
"9,279,037","7,168,949","6,449,795","4,979,763"
"1,345,364","1,258,198","1,339,691","1,252,570"
"62,756","108,902","5,752,702","5,752,702"
"456,842,717","425,054,034","326,376,730","312,189,185"
"331,451,673","298,166,604","225,782,765","207,984,496"
"14,794,574","29,969,001","11,672,102","27,063,578"
"11,493,514","4,243,587","9,670,690","1,994,949"
"20,171,452","19,798,455","19,205,520","18,521,027"
"4,378,520","4,562,255","2,478,269","2,593,221"
"382,289,733","356,739,902","268,809,346","258,157,271"
"1,118,409","1,118,409","1,118,409","1,118,409"
"9,006,569","9,006,569","9,006,569","9,006,569"
"54,854,274","51,002,806","45,384,579","43,231,351"
-,"789,473",-,-
"1,476,079","53,331","1,219,020","675,585"
"838,807",-,"838,807",-
"67,294,138","61,970,588","57,567,384","54,031,914"
"7,258,846","6,343,544",-,-
"74,552,984","68,314,132","57,567,384","54,031,914"
"456,842,717","425,054,034","326,376,730","312,189,185"
