Up to 1,1-3,3-12,1-5,Over 5,Non-interest,Column
month,months,months,years,years,sensitive,Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"82,740,804","184,666,717","49,772,172","45,089,072",-,"42,284,265","404,553,030"
"153,415,169","16,361,267","105,397,072","55,712,510",-,"25,518,019","356,404,037"
"(70,674,365)","168,305,450","(55,624,900)","(10,623,438)",-,"16,766,246","48,148,993"
-,-,-,-,-,"17,219,059","17,219,059"
"10,950,784","22,722,868","15,646,932","56,818,246","18,170,873",-,"124,309,703"
"3,850,652",-,-,-,-,-,"3,850,652"
"87,660","142,486,676","281,442",617,-,"16,324,474","159,180,869"
-,-,-,"1,289,691",-,"50,000","1,339,691"
-,-,-,-,-,"915,245","915,245"
"14,889,096","165,209,544","15,928,374","58,108,554","18,170,873","34,508,778","306,815,219"
"115,502,531","38,048,566","71,551,427","680,241",-,-,"225,782,765"
"10,515,018","1,143,011","14,073",-,-,-,"11,672,102"
-,"950,550","18,254,970",-,-,-,"19,205,520"
-,-,-,-,-,"9,512,032","9,512,032"
"23,926","29,544","170,071","1,214,635","1,040,093",-,"2,478,269"
"126,041,475","40,171,671","89,990,541","1,894,876","1,040,093","9,512,032","268,650,688"
"(111,152,379)","125,037,873","(74,062,167)","56,213,678","17,130,780","24,996,746","38,164,531"
