Name,No. of Shares,% Shareholding
Aga Khan Fund for Economic Development S.A.,"46,130,236",16.50
Habib Bank Limited,"45,159,849",16.15
The Jubilee Insurance Company of Kenya Limited,"27,809,139",9.95
Stanbic Nominees Ltd A/C NR1873738,"8,075,039",2.89
Acacia Partners L.P.,"7,369,920",2.64
Standard Chartered Nominee A/C KE004667,"7,100,900",2.54
The Diamond Jubilee Investments Trust (U) Limited,"3,838,436",1.37
Tropical Veterinary Services Limited,"2,807,200",1.00
Kenya Inland Ports Enterprises Limited,"1,871,612",0.67
PDM (Holdings) Limited,"1,859,613",0.67
Total,"152,021,944",54.38
