Name of Director,BOARD,BNHRC,BEC,BCC,BACC,BRMC,BITC,AGM
Abdul Samji,5/5,5/5,4/4,4/4,-,-,-,1/1
Nasim Devji,5/5,-,-,-,-,-,-,1/1
Pamella Ager,3/5*,4/5*,4/4,4/4,-,3/4*,-,1/1
Shaffiq Dharamshi**,4/4,,,,2/2,2/2,2/3*,1/1
Rizwan Hyder***,-,-,-,-,-,-,-,-
Moez Jamal,5/5,-,-,-,-,4/4,4/4,0/1*
Nizar Juma - Retired^,2/2,-,-,-,-,-,-,0/1*
Irfan Keshavjee,4/5*,3/5*,3/4*,3/4*,2/2,4/4,4/4,1/1
Zakir Mahmood - Resigned^^,3/4*,-,-,-,3/4*,3/4*,-,1/1
Ismail Mawji,5/5,5/5,4/4,4/4,4/4,-,-,1/1
Amin Merali,4/5*,4/5*,3/4*,3/4*,3/4*,-,-,1/1
Mwaghazi Mwachofi,3/5*,-,-,-,2/4*,3/4*,-,1/1
Jamaludin Shamji,5/5,5/5,4/4,4/4,2/2,4/4,4/4,1/1
