Name,No. of shares,% Shareholding
Aga Khan Fund for Economic Development S.A.,"46,130,236",16.50
Habib Bank Limited,"45,159,849",16.15
The Jubilee Insurance Company of Kenya Limited,"27,809,139",9.95
Stanbic Nominees Ltd A/C NR1873738,"8,075,039",2.89
"Acacia Partners, L.P.","7,369,920",2.64
Standard Chartered Nominees A/C KE002382,"6,577,700",2.35
The Diamond Jubilee Investment Trust (U) Limited,"3,838,436",1.37
Tropical Veterinary Services Limited,"2,807,200",1.00
Mr. Amin Nanji Juma,"2,458,272",0.88
Kenya Inland Ports Enterprises Limited,"1,871,612",0.67
Total,"152,097,403",54.40
