"6,625,657","4,668,271","4,696,070","3,824,363"
"1,987,697","1,227,361","1,408,821","956,091"
"(1,828,742)","(667,469)","(1,554,966)","(252,125)"
"1,343,728","813,986","1,657,405","359,690"
-,"(279,453)",-,"(279,471)"
"(57,378)","50,914",-,-
"766,879","(5,694)","221,663","(5,762)"
"2,212,184","1,139,645","1,732,923","778,423"
"(1,237,081)","(851,554)","(557,959)","(140,488)"
"4,267,573","3,676,242","3,238,217","2,461,009"
"(57,378)","50,914",-,-
"(3,544,020)","(4,112,683)","(2,719,708)","(2,878,480)"
"(570,906)","(1,237,081)","(39,450)","(557,959)"
