"Mandatorily at
FVTPL","Designated at
FVTPL","Investment at
FVTOCI",Amortised cost,"Total carrying
amount"
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
-,-,-,"27,695,508","27,695,508"
-,"45,049,521","14,027,962","108,553,021","167,630,504"
-,-,-,"16,136,223","16,136,223"
-,-,-,"220,425,335","220,425,335"
-,-,"1,345,364",-,"1,345,364"
-,-,-,"1,593,088","1,593,088"
-,"45,049,521","15,373,326","374,403,175","434,826,022"
-,-,-,"331,451,673","331,451,673"
-,-,-,"14,794,574","14,794,574"
-,-,-,"11,137,820","11,137,820"
-,-,-,"20,171,452","20,171,452"
-,-,-,"4,378,520","4,378,520"
-,-,-,"381,934,039","381,934,039"
