Director,Classification,Column,BOD,BACC,BRMC,BNHRC,BCC,BEC,BITC
Abdul Samji - Chairman,Non Executive,Membership,√,,,√,√,√,
,,Attendance,4/4.,,,5/5.,4/4.,4/4.,
"Nasim Devji – Managing
Director",Executive,Membership,√,,,,,,
,,Attendance,4/4.,4/4***,4/4.***,5/5.***,4/4.***,4/4***.,2/2***.
Farid Hamir,Non Executive,Membership,√,,√,√,√,√,√
,,Attendance,4/4.,,4/4.,5/5.,4/4.,4/4.,2/2.
Jamaludin Shamji,Non Executive,Membership,√,√,,√,√,√,√
,,Attendance,4/4.,4/4.,,5/5.,4/4.,4/4.,2/2.
Amin Merali,Non Executive,Membership,√,√,,√,√,√,
,,Attendance,4/4.,4/4.,,4/5.*,3/4.*,3/4.*,
Moez Jamal,Non Executive,Membership,√,,√,,,,√
,,Attendance,4/4.,,4/4.,,,,2/2.
Mwaghazi Mwachofi,Non Executive,Membership,√,√,√,,,,
,,Attendance,4/4.,4/4.,4/4.,,,,
Sukh Dev Nayyar,Non Executive,Membership,√,,√,,,,
,,Attendance,3/4.*,,3/4.*,,,,
Nizar Juma,Non Executive,Membership,√,,,,,,
,,,4//4.,,,,,,
Nauman Dar,Non Executive,Membership,√,,√,,,,
,,Attendance,1/2.**,,**,,,,
