Column,"(595,542)","(59,260)","2,764,890",Column
,"Prior year under
statement/ translation
Shs’000","Charged through
OCI
Shs’000","Charged to the statement
of profit or loss
Shs’000",
"(31,703)",(15),-,"51,076","19,358"
"558,333",175,-,"(76,929)","481,579"
"(117,028)","(3,555)","(183,504)","2,155","(301,932)"
"5,707,032","53,705",-,"1,827,397","7,588,134"
"(47,683)","9,860",-,"176,180","138,357"
"2,109,521","104,523",-,"703,736","2,917,780"
"(29,380)","(1,457)","(247,986)",-,"(278,823)"
"261,163","5,719",-,"(18,175)","248,707"
"868,782","(9,807)",-,"273,385","1,132,360"
"9,279,037","159,148","(431,490)","2,938,825","11,945,520"
