Standard/ Interpretation,Effective date,Column
"Sale or Contribution of Assets between an Investor and its Associate or
Company (Amendments to IFRS 10 and IAS 28)","To be
determined",
Classification of Liabilities as Current or Non-current (Amendments to IAS 1),1 January 2023,
"Property, Plant and Equipment: Proceeds before intended use (Amendments to
IAS 16)",1 January 2022,
Reference to the Conceptual Framework (Amendments to IFRS 3),1 January 2022,
Onerous Contracts – Cost of Fulfilling a Contract (Amendments to IAS 37),1 January 2022,
"Disclosure of Accounting Policies (Amendments to IAS 1 and IFRS Practice
Statement 2)",1 January 2023,
Definition of Accounting Estimates (Amendments to IAS 8),1 January 2023,
"Deferred Tax related to Assets and Liabilities arising from a Single Transaction
(Amendments to IAS 12)",1 January 2023,
IFRS 17 Insurance Contracts and amendments to IFRS 17 Insurance Contracts,1 January 2023,
Annual Improvement cycle (2018–2020) - various standards,1 January 2022,
,,111
