Manufacturing,"Wholesale
and retail
trade","Transport and
communications","Business
and
financial
services",Agriculture,"Building and
construction
and real
estate","Retail
housing","Tourism
and hotels",Individuals,Others,Total
Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
-,-,"1,289,691","55,673",-,-,-,-,-,-,"1,345,364"
"40,246,296","47,555,781","20,151,487","18,946,252","12,189,075","51,456,140","1,400,797","33,796,486","5,878,265","3,111,432","234,732,012"
-,-,-,"16,136,223",-,-,-,-,-,-,"16,136,223"
-,-,-,-,-,-,-,-,-,"1,593,088","1,593,088"
"40,246,296","47,555,781","21,441,178","35,138,148","12,189,075","51,456,140","1,400,797","33,796,486","5,878,265","4,704,520","253,806,687"
"17,601,466","13,151,468","2,290,595","1,490,637","1,697,351","3,057,318","12,151","227,795","20,012","1,093,164","40,641,957"
"3,469,427","4,574,546","3,632,230","408,817","141,221","3,079,555",-,"295,524","222,942","321,834","16,146,096"
"21,070,893","17,726,014","5,922,825","1,899,454","1,838,572","6,136,873","12,151","523,319","242,954","1,414,998","56,788,053"
