"Mandatorily
at FVTPL","Designated at
FVTPL","Investment at
FVTOCI","Amortised
cost","Total
carrying
amount"
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
-,-,-,"25,983,424","25,983,424"
-,-,"8,738,430","138,381,313","147,119,743"
-,-,-,"19,945,900","19,945,900"
-,-,-,"208,592,888","208,592,888"
-,-,"1,258,198",-,"1,258,198"
-,-,-,"1,652,877","1,652,877"
-,-,"9,996,628","394,556,402","404,553,030"
-,-,-,"298,166,604","298,166,604"
-,-,-,"29,969,001","29,969,001"
-,-,-,"3,907,722","3,907,722"
-,-,-,"19,798,455","19,798,455"
-,-,-,"4,562,255","4,562,255"
-,-,-,"356,404,037","356,404,037"
-,-,-,"27,218,903","27,218,903"
-,"615,493","11,026,984","119,283,094","130,925,571"
-,-,-,"8,320,531","8,320,531"
-,-,-,"199,089,371","199,089,371"
-,-,-,"18,029","18,029"
-,-,"1,518,389",-,"1,518,389"
-,-,-,"1,376,772","1,376,772"
-,"615,493","12,545,373","355,306,700","368,467,566"
-,-,-,"280,186,953","280,186,953"
-,-,-,"22,453,859","22,453,859"
-,-,-,"2,912,805","2,912,805"
-,-,-,"11,356,847","11,356,847"
-,-,-,"4,237,765","4,237,765"
-,-,-,"321,148,229","321,148,229"
