"Up to 1
month","1-3
months","3-12
months","1-5
years","Over 5
years",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"30,027,734","2,374,989","4,152,510","436,795",93,"36,992,121"
"13,485,493","25,039,335","39,207,272","89,926,512","37,392,381","205,050,993"
"14,774,529","2,688,512",-,-,-,"17,463,041"
"41,779,242","24,429,843","43,874,349","109,065,766","71,748,706","290,897,906"
-,-,-,-,"56,000","56,000"
"2,246,062","117,853","223,582",-,"23,747","2,611,244"
"102,313,060","54,650,532","87,457,713","199,429,073","109,220,927","553,071,305"
"223,298,403","59,445,494","102,395,898","8,704,794","37,695","393,882,284"
"22,315,442","4,894,614","1,226,777",-,-,"28,436,833"
"3,768,565","1,486,952","2,447,084","20,411,051","111,155","28,224,807"
"3,768,229","9,118",-,-,"8,931","3,786,278"
"58,524","84,563","493,656","3,657,677","2,995,779","7,290,199"
"253,209,163","65,920,741","106,563,415","32,773,522","3,153,560","461,620,401"
"(150,896,103)","(11,270,209)","(19,105,702)","166,655,551","106,067,367","91,450,904"
,"57,196,997
47,664,343","85,577,876
110,506,861","182,014,802
19,795,121","127,028,812
3,391,591",
,"9,532,654","(24,928,985)","162,219,681","123,637,221",
