USD,GBP,EURO,OTHERS,TOTAL
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"512,804","62,552","315,715",-,"891,071"
"2,548,364","411,722","618,956","235,606","3,814,648"
"2,631",-,-,-,"2,631"
"78,974,057","20,125","5,134,076",-,"84,128,258"
"1,289,691",-,-,-,"1,289,691"
"83,327,547","494,399","6,068,747","235,606","90,126,299"
"43,425,969","5,394,111","3,419,491","246,777","52,486,348"
"11,090,534","262,542","4,782","314,244","11,672,102"
"199,917",374,116,"1,700","202,107"
"19,205,520",-,-,-,"19,205,520"
"383,875",-,-,-,"383,875"
"74,305,815","5,657,027","3,424,389","562,721","83,949,952"
"9,021,732","(5,162,628)","2,644,358","(327,115)","6,176,347"
"(8,698,527)","5,101,349","(2,708,616)","281,749","(6,024,045)"
"323,205","(61,279)","(64,258)","(45,366)","152,302"
"90,433,021","614,796","6,495,065","154,934","97,697,816"
"83,162,699","5,218,828","2,781,658","588,165","91,751,350"
"7,270,322","(4,604,032)","3,713,407","(433,231)","5,946,466"
"(6,942,543)","4,596,871","(3,691,936)","260,743","(5,776,865)"
"327,779","(7,161)","21,471","(172,488)","169,601"
