USD,GBP,EURO,OTHERS,TOTAL
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"2,757,549","192,540","539,435","4,518","3,494,042"
"12,490,996","709,577","2,116,323","281,161","15,598,057"
"1,017,927",-,8,-,"1,017,935"
"116,251,678","19,916","5,175,730","4,956","121,452,280"
"1,289,691",-,-,-,"1,289,691"
"133,807,841","922,033","7,831,496","290,635","142,852,005"
"91,379,161","6,125,206","5,107,210","262,798","102,874,375"
"10,171,871","262,542","4,889","314,244","10,753,546"
"515,384","5,416","1,910","2,634","525,344"
"20,167,302",-,-,"4,150","20,171,452"
"1,393,975",-,-,"5,539","1,399,514"
"123,627,693","6,393,164","5,114,009","589,365","135,724,231"
"10,180,148","(5,471,131)","2,717,487","(298,730)","7,127,774"
"(9,305,924)","5,460,793","(2,749,756)","294,600","(6,300,287)"
"874,224","(10,338)","(32,269)","(4,130)","827,487"
"137,336,768","955,480","7,357,517","213,191","145,862,956"
"130,795,388","5,863,087","3,568,027","617,673","140,844,175"
"6,541,380","(4,907,607)","3,789,490","(404,482)","5,018,781"
"(6,559,797)","4,892,944","(3,703,446)","243,143","(5,127,156)"
"(18,417)","(14,663)","86,044","(161,339)","(108,375)"
