Column,"146,552,613","(79,557,921)","63,567,093","25,323,291","15,260,431",Column
-,-,-,-,-,"15,803,197","15,803,197"
"7,973,315","27,653,673","11,199,416","60,340,496","26,526,910",-,"133,693,810"
"8,389,828",-,-,-,-,-,"8,389,828"
"64,578","162,675,735","148,496",98,-,"14,868,709","177,757,616"
-,-,-,-,-,"1,280,435","1,280,435"
"16,427,721","190,329,408","11,347,912","60,340,594","26,526,910","31,952,341","336,924,886"
"133,084,395","49,996,898","64,167,930","3,343,675",-,-,"250,592,898"
"16,266,407","4,737,462","1,209,918",-,-,-,"22,213,787"
"3,746,877","1,354,560","2,295,776","17,266,422","35,551",-,"24,699,186"
-,-,-,-,-,"2,777,607","2,777,607"
"20,183","28,825","144,836","912,354","1,445,805",-,"2,552,003"
"153,117,862","56,117,745","67,818,460","21,522,451","1,481,356","2,777,607","302,835,481"
"(136,690,141)","134,211,663","(56,470,548)","38,818,143","25,045,554","29,174,734","34,089,405"
