(392),-,-,"(31,333)","(31,725)"
"472,969",-,-,"247,506","720,475"
"(31,986)",-,-,"10,754","(21,232)"
"2,256,830","(125,230)",-,"1,782,228","3,913,828"
"1,326",-,-,"39,546","40,872"
"980,865",-,-,"560,743","1,541,608"
"(8,064)",-,"(13,663)",-,"(21,727)"
"216,633",-,-,"31,687","248,320"
"837,844",-,-,"(59,314)","778,530"
"4,726,025","(125,230)","(13,663)","2,581,817","7,168,949"
,"Prior year under
statement/ translation","Charged through
OCI","Charged to the statement
of profit or loss",
"(31,725)",105,-,(83),"(31,703)"
"720,475","(190,093)",-,"27,951","558,333"
"(21,232)","(43,114)","(53,789)","1,107","(117,028)"
"3,913,828","(468,061)",-,"2,261,265","5,707,032"
"40,872",-,-,"(88,555)","(47,683)"
"1,541,608","105,779",-,"462,134","2,109,521"
"(21,727)","(2,182)","(5,471)",-,"(29,380)"
"248,320","2,024",-,"10,819","261,163"
"778,530",-,-,"90,252","868,782"
"7,168,949","(595,542)","(59,260)","2,764,890","9,279,037"
