Stage 1,Stage 2,Stage 3,Column,Column
12-month ECL,Lifetime ECL,Lifetime ECL,POCI,Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"582,254","2,021,293","7,023,494",-,"9,627,041"
"499,350","(496,980)","(2,370)",-,-
"(19,474)","27,382","(7,908)",-,-
"(3,514)","(88,971)","92,485",-,-
(117),"(11,129)","(4,455,805)",-,"(4,467,051)"
"264,095","625,138","278,080",-,"1,167,313"
"(271,839)","(1,044,530)","(185,721)",-,"(1,502,090)"
"294,624","(8,849)","57,893",-,"343,668"
"(497,348)","134,841","1,376,892",-,"1,014,385"
"848,031","1,158,195","4,177,040",-,"6,183,266"
