1,Aga Khan Fund For Economic Development S.A.,"46,130,236",16.50
2,Habib Bank Limited,"45,159,849",16.15
3,Jubilee Life Insurance Limited,"18,325,022",6.55
4,Jubilee Holdings Limited,"9,484,117",3.39
5,Stanbic Nominees Ltd A/c Nr1031461,"7,960,039",2.85
6,Acacia Partners L.p.,"7,369,920",2.64
7,Standard Chartered Nominee A/c Ke004667,"7,100,900",2.54
8,Standard Chartered Nominee Resd A/c Ke11443,"4,677,008",1.67
9,The Diamond Jubilee Investment Trust (U) Limited,"3,838,436",1.37
10,Investment & Mortgages Nominees Ltd A/c 003745,"2,850,000",1.02
11,Investment & Mortgages Nominees Ltd A/c 003746,"2,850,000",1.02
