MEETING,BOARD,BNHRC,BEC,BCC,BRMC,BACC,BITC,AGM
Abdul Samji,5/5,4/4,4/4,4/4,-,-,-,1/1
Nasim Devji,5/5,-,-,-,-,-,-,1/1
Amin Merali,5/5,3/4****,3/4****,3/4****,-,5/5,-,1/1
Moez Jamal,5/5,-,-,-,4/4,-,5/5,1/1
Mwaghazi Mwachofi,5/5,-,-,-,4/4,5/5,-,1/1
Nizar Juma,4/5****,-,-,-,-,-,-,1/1
Jamaludin Shamji,4/5****,3/4****,3/4****,3/4****,2/3****,2/2,4/5****,1/1
Zakir Mahmood*,3/4****,-,-,-,2/2,3/3,-,0/1****
Irfan Keshavjee**,4/4,2/2,2/2,2/2,-,3/3,3/3,1/1
Pamella Ager**,4/4,-,2/2,2/2,2/2,-,-,1/1
Farid Hamir***,1/2****,1/2****,1/2****,1/2****,1/2****,-,1/2****,***
Sukh Dev Nayyar***,0/2****,-,-,-,0/2****,-,-,***
