"Mandatorily at
FVTPL","Designated at
FVTPL","Investment at
FVTOCI",Amortised cost,"Total carrying
amount"
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
-,-,-,"25,983,424","25,983,424"
-,-,"8,738,430","138,381,313","147,119,743"
-,-,-,"19,945,900","19,945,900"
-,-,-,"208,592,888","208,592,888"
-,-,"1,258,198",-,"1,258,198"
-,-,-,"1,652,877","1,652,877"
-,-,"9,996,628","394,556,402","404,553,030"
-,-,-,"298,166,604","298,166,604"
-,-,-,"29,969,001","29,969,001"
-,-,-,"3,907,722","3,907,722"
-,-,-,"19,798,455","19,798,455"
-,-,-,"4,562,255","4,562,255"
-,-,-,"356,404,037","356,404,037"
