USD,GBP,EURO,OTHERS,TOTAL
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"6,256,613","165,819","482,384","38,157","6,942,973"
"15,860,376","743,217","1,234,073","352,040","18,189,706"
"801,400",1,19,"5,228","806,648"
"142,509,044","20,125","5,196,352",1,"147,725,522"
-,-,-,-,-
"165,427,433","929,162","6,912,828","395,426","173,664,849"
"112,425,462","5,097,792","6,297,969","300,774","124,121,997"
"19,152,872","167,718","4,973","9,062","19,334,625"
"431,879","5,395","1,255","8,754","447,283"
"25,509,025",-,-,"3,501","25,512,526"
"1,299,970",-,-,-,"1,299,970"
"158,819,208","5,270,905","6,304,197","322,091","170,716,401"
"6,608,225","(4,341,743)","608,631","73,335","2,948,448"
"(7,745,597)","4,384,277","(449,428)","163,282","(3,647,466)"
"(1,137,372)","42,534","159,203","236,617","(699,018)"
,"922,033
6,393,164","7,831,496
5,114,009","290,635
589,365",
,"(5,471,131)","2,717,487","(298,730)",
,"5,460,793","(2,749,756)","294,600",
,"(10,338)","(32,269)","(4,130)",
