GRI content index,Column,Column,Column
Statement of use,"DTB has reported the information cited in this GRI content index for the period 1 January to 31 December 2025 with
reference to the GRI Standards.",,
GRI 1 used,GRI 1: Foundation 2021,,
GRI STANDARD,DISCLOSURE,LOCATION,PAGE
"GRI 204: Procurement Practices
2016",204-1 Proportion of spending on local suppliers,Our Socio-economic Relevance,53
GRI 205: Anti-corruption 2016,205-1 Operations assessed for risks related to corruption,DTB Risk management,102-105
,"205-2 Communication and training about anti-corruption
policies and procedures",Guiding Socio-economic Value Creation,97
,"207-2 Tax governance, control and risk management","Guiding our Socio-economic Value Creation
and DTB Risk management",34
,"207-3 Stakeholder engagement and management of
concerns related to tax",Our Impact Network,70-75
,207-4 Country-by-country reporting,Financial review,16
,301-2 Recycled input materials used,Our Socio-economic Relevance,51-52
GRI 302: Energy 2016,302-1 Energy consumption within the organisation,Our Socio-economic Relevance,51-52
,302-2 Energy consumption outside of the organization,Our Socio-economic Relevance,51-52
,302-3 Energy intensity,Our Socio-economic Relevance,51-52
,302-4 Reduction of energy consumption,Our Socio-economic Relevance,51-52
,"302-5 Reductions in energy requirements of products and
services",Our Socio-economic Relevance,51-52
GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,Our Socio-economic Relevance,51-52
,305-2 Energy indirect (Scope 2) GHG emissions,Our Socio-economic Relevance,51-52
,305-3 Other indirect (Scope 3) GHG emissions,Our Socio-economic Relevance,51-52
,305-4 GHG emissions intensity,Our Socio-economic Relevance,51-52
,305-5 Reduction of GHG emissions,Our Socio-economic Relevance,51-52
