Class of business,Column,Column,Maximum insured loss,Column,Column
"General Insurance business -
Sum assured",,Kshs 0m - 15m,Kshs15m - 250m,Kshs250m - 1000m,Total
,,Kshs’000,Kshs’000,Kshs’000,Kshs’000
,Gross,"2,731,647","1,618,327","1,456,631","5,806,605"
Motor,Net,"2,698,616","1,165,195","1,092,473","4,956,284"
Fire,Gross,"7,408,673","19,514,912","41,681,896","68,605,481"
,Net,"7,408,673","8,895,407","1,228,386","17,532,466"
Personal accident,Gross,"335,387","5,867,835","3,040,000","9,243,222"
,Net,"298,987","2,101,041","196,000","2,596,028"
Other,Gross,"4,775,759","19,433,612","14,758,847","38,968,218"
,Net,"4,123,513","4,484,154","1,197,153","9,804,820"
Long term business,,,,,
Ordinary life,Gross,"20,168,725","355,000",-,"20,523,725"
,Net,"15,079,016","13,000",-,"15,092,016"
Group life,Gross,"130,048,366","27,394,229",-,"157,442,595"
,Net,"91,793,277","1,762,362",-,"93,555,639"
Total,Gross,"165,468,557","74,183,915","60,937,374","300,589,846"
,Net,"121,402,082","18,421,159","3,714,012","143,537,253"
Year ended 31 December 2009,,,Maximum insured loss,,
General Insurance business,,,,,
Motor,Gross,"2,383,340","1,443,278","1,376,077","5,202,695"
,Net,"2,383,340","1,429,278","1,376,077","5,188,695"
Fire,Gross,"7,041,731","16,590,869","39,319,484","62,952,084"
,Net,"7,034,601","6,282,114","894,638","14,211,353"
Personal accident,Gross,"1,961,601","3,229,805","464,250","5,655,656"
,Net,"1,874,469","558,170","52,242","2,484,881"
Other,Gross,"4,953,229","7,784,121","11,007,882","23,745,232"
,Net,"4,318,515","1,942,768","460,642","6,721,925"
Long term business,,,,,
Ordinary life,Gross,"16,973,195","45,000",-,"17,018,195"
,Net,"14,691,936","2,000",-,"14,693,936"
Group life,Gross,"186,641,203","17,499,225",-,"204,140,428"
,Net,"94,367,291","927,000",-,"95,294,291"
Other,Gross,-,-,-,-
,Net,-,-,-,-
Total,Gross,"219,954,299","46,592,298","52,167,693","318,714,290"
,Net,"124,670,152","11,141,330","2,783,599","138,595,081"
