At 31 December 2019,"Carrying
values","0 – 3
Months","4-12
Months","1-5
Years",Totals
,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
Liabilities,,,,,
Bank loan,"375,000",-,"375,000",-,"375,000"
Other borrowings,"485,654",-,"485,654",-,"485,654"
Interest payable,"1,274","1,274",-,-,"1,274"
Other payables,"114,359","114,359",-,-,"114,359"
Total financial liabilities,"976,287","115,633","860,654",-,"976,287"
At 31 December 2018,"Carrying
values","0 – 3
Months","4-12
Months","1-5
Years",Totals
,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
Liabilities,,,,,
Bank loan,"1,160,000",-,"1,160,000",,"1,160,000"
Interest payable,"14,807","14,807",-,-,"14,807"
Other payables,"311,649","311,649",-,-,"311,649"
Total financial liabilities,"1,486,456","326,456","1,160,000",-,"1,486,456"
