CAPITAL EMPLOYED,Notes,"2010
Kshs’000","2009
Kshs’000","2008
Kshs’000","2007
Kshs’000","2006
Kshs’000"
Share capital,14,"150,000","150,000","150,000","150,000","150,000"
Retained earnings,,"3,330,535","1,223,625","1,979,338","1,866,770","157,321"
Proposed dividend,13,"200,000","120,000","120,000","120,000","60,000"
Shareholders’ funds,,"3,680,535","1,493,625","2,249,338","2,136,770","367,321"
Represented by:,,,,,,
Assets,,,,,,
Property and equipment,15,"3,989","4,784","5,007",-,-
Intangible assets,16,197,197,-,-,-
Investment in subsidiary companies,43,"760,000","560,000","480,000","330,000","180,000"
Financial assets at fair value through profit or loss,18(i),"4,380,171","2,354,048","3,217,968","2,483,356","685,318"
Receivables from related parties,42,"25,303","20,900","50,000",-,-
Other receivables,24,"4,500",-,830,591,363
Deposit with financial institutions,,"8,490","5,873","32,000","4,312",-
Cash and bank balances,,"10,407","2,077",192,"3,822",629
Total assets,,"5,193,057","2,947,879","3,785,997","2,822,081","866,310"
Liabilities,,,,,,
Bank loan,35,"749,318","747,618","777,416","122,322",-
Amounts due to related parties,42,"751,465","640,505","744,794","552,381","468,540"
Dividends payable,,-,"60,000",-,-,"30,000"
Other payables,38,"11,739","6,131","14,449","10,608",449
Total liabilities,,"1,512,522","1,454,254","1,536,659","685,311","498,989"
Net assets,,"3,680,535","1,493,625","2,249,338","2,136,770","367,321"
