Class of business,Column,Column,Maximum insured loss,Column,Column
"General Insurance business
- Sum assured",,Kshs 0m - 15m,Kshs15m - 250m,Kshs250m - 1000m,Total
,,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Motor,Gross,"4,391,658","7,731,718",-,"12,123,376"
Fire,Net,"4,388,358","7,713,981",-,"12,102,339"
,Gross,"6,631,946","23,480,190","134,994,068","165,106,204"
,Net,"6,573,150","5,205,000","1,020,000","12,798,150"
Personal accident,Gross,"700,001","4,028,058","22,738,268","27,466,327"
,Net,"576,201","490,000","270,000","1,336,201"
Other,Gross,"3,919,113","48,117,763","20,264,387","72,301,263"
,Net,"3,446,545","1,028,127","10,113,285","14,587,957"
Long term business,,,,,
Ordinary life,Gross,"13,117,513","35,000",-,"13,152,513"
,Net,"9,981,645","2,000",-,"9,983,645"
Group life,Gross,"93,547,602","9,674,654",-,"103,222,256"
,Net,"60,646,845","1,103,587",-,"61,750,432"
Total,Gross,"122,307,833","93,067,383","177,996,723","393,371,939"
,Net,"85,612,744","15,542,695","11,403,285","112,558,724"
"Year ended 31 December
2007",,,,,
General Insurance business,,,,,
Motor,Gross,"3,513,327","6,185,375",-,"9,698,702"
,Net,"3,510,687","6,171,185",-,"9,681,872"
Fire,Gross,"5,305,557","18,784,152","107,995,255","132,084,964"
,Net,"5,258,520","4,164,000","816,000","10,238,520"
Personal accident,Gross,"560,001","3,222,447","18,190,615","21,973,063"
,Net,"460,961","392,000","216,000","1,068,961"
Other,Gross,"3,135,291","38,494,211","16,211,509","57,841,011"
,Net,"2,757,236","822,502","8,090,628","11,670,366"
Long term business,,,,,
Ordinary life,Gross,"11,571,880",-,-,"11,571,880"
,Net,"11,376,781",-,-,"11,376,781"
Group life,Gross,"54,599,530","5,638,241",-,"60,237,771"
,Net,"24,991,399","266,659",-,"25,258,058"
Other,Gross,,,,
,Net,,,,
Total,Gross,"78,685,586","72,324,426","142,397,380","293,407,392"
,Net,"48,355,584","11,816,346","9,122,628","69,294,558"
