Column,Group,Column
,2019,2018
,Shs’000,Shs’000
Maturing Profile,,
- Within 1 year,"410,642","515,111"
- In 1 – 5 years,"270,744","518,150"
- After 5 years,-,-
Total,"681,386","1,033,261"
At start of year,"1,033,261","1,218,485"
Amortization,"(3,185)","(10,553)"
Additions,-,"2,500"
Maturities,"(348,690)","(177,171)"
At end of year,"681,386","1,033,261"
Less: Provision for expected credit losses,"(59,277)","(89,067)"
Net amount at end of year,"622,109","944,194"
Movement in provision for expected credit losses:,,
At 1 January,"89,067","36,680"
Decrease in the year,"(29,790)","52,387"
At 31 December,"59,277","89,067"
