Column,Due on demand or,Column,Column,Column,Column
At 31 December 2009,0 – 4 months,5-12 months,1-5 years,Over 5 years,Totals
,Kshs’ 000,Kshs’ 000,Kshs’ 000,Kshs’ 000,Kshs’ 000
Liabilities,,,,,
Insurance contract liabilities,"279,784","1,163,020","1,194,611","2,313,101","4,950,516"
"Amounts payable under group
deposit administration contracts","540,000","127,000","1,001,000","1,086,617","2,754,617"
"Liabilities under investment
contracts","65,739","85,602","967,961","521,600","1,640,902"
Creditors arising out of reinsurance,,,,,
Arrangements,"17,334",-,-,-,"17,334"
Bank loan,-,-,"747,618",-,"747,618"
Dividends payable,-,"60,000",-,-,"60,000"
Other payable,"109,699","66,111","107,954",-,"283,764"
Overdraft,"50,696",456,-,-,"51,152"
"Total financial liabilities (expected
maturity dates)","1,063,252","1,502,189","4,019,144","3,921,318","10,505,903"
"Available for sale quoted shares
investments","3,282,105",-,-,-,"3,282,105"
"Investments at fair value through
profit",,,,,
And loss:,,,,,
- quoted investments,"4,608,842",-,-,-,"4,608,842"
- government securities,"86,705","86,975","273,031","76,850","523,561"
- Unit trusts,-,-,"36,898","2,085,105","2,122,003"
"Government securities held to
maturity","57,744","4,920","344,854","1,166,025","1,573,543"
Corporate bond,"62,650",-,"132,429","92,769","287,848"
Mortgage loans,"7,413","2,865","19,803","629,796","659,877"
Loans to policyholders,"18,236","55,045","283,951",557,"357,789"
"Receivables arising out of
reinsurance arrangements","54,090",-,-,-,"54,090"
"Receivables arising out of direct
insurance arrangements",-,"196,757",-,-,"196,757"
"Reinsurers’ share of insurance
liabilities","11,249","32,293","91,184","141,231","275,956"
"Loans and receivables from related
parties","33,060",-,-,-,"33,060"
Other receivables,"10,106","29,430","101,789","5,140","146,465"
Deposits with financial institutions,"206,640",-,-,-,"206,640"
Cash and bank balances,"193,040",-,-,-,"193,040"
"Total financial assets (expected
maturity dates)","8,631,880","408,285","1,283,939","4,197,473","14,521,577"
