Column,"31 December
2019","2019
Movement","31 December
2018","2018
Movement","31 December
2017"
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
Property and equipment:,,,,,
- on historical cost basis (buildings),"(101,412)","(14,871)","(86,541)","(161,162)","74,621"
Provisions,"454,687","211,018","243,669","(5,384)","249,053"
Tax losses brought forward:,"1,289,420","266,516","1,022,904","126,084","896,820"
IFRS 9 provisions through equity,-,"(193,760)","193,760","193,760",-
IFRS 16 impact,"18,548","18,548",-,-,-
Less: Deferred tax asset not recognised:,,,,,
-Britam Properties Co. Limited,"(33,162)","(33,162)",-,-,-
-Britam Insurance Co. Rwanda Limited,"(101,989)","20,680","(122,669)","2,084","(124,752)"
-Britam Holdings Plc,"(734,735)","(82,185)","(652,550)","(7,206)","(645,344)"
Life fund surplus,"(3,735,019)","(938,611)","(2,796,408)","627,646","(3,424,054)"
Net deferred income tax liability,"(2,943,662)","(745,827)","(2,197,835)","775,822","(2,973,656)"
Reconciliation:,,,,,
Income statement,,,,,
Credit (Note 25),-,-,-,"505,836",-
Charge (Note 25),-,"(507,994)",-,-,-
Other comprehensive income (Note 25),-,"(237,833)",-,"76,226",-
IFRS 9 provisions through equity,-,-,-,"193,760",-
Total,,"(745,827)",,"775,822",-
Statement of financial position,,,,,
Deferred income tax asset,"777,550","144,066","633,484","183,086","450,398"
Deferred income tax liability,"(3,721,212)","(889,893)","(2,831,319)","592,736","(3,424,054)"
Net deferred income tax liability,"(2,943,662)","(745,827)","(2,197,835)","775,822","(2,973,656)"
