2018,Column,Column,Column,Column,Column,Column,Column
Cost or valuation,,,,,,,
1 January 2018,"641,058","542,423",-,"119,778","981,534","761,360","3,046,153"
Additions,"3,181","24,996","59,319","2,875","60,326","17,706","168,403"
Disposals,(594),"(4,248)",-,"(19,156)","(6,712)","(1,267)","(31,977)"
Revaluation surplus,"7,396",-,-,-,-,-,"7,396"
"Transfer from intangible
assets (Note 22)",-,"4,330",-,-,-,-,"4,330"
Reclassification,-,"(4,299)",-,-,"4,632",(333),-
Translation differences,384,"9,452",-,"5,913","16,611","2,265","34,625"
At 31 December 2018,"651,425","572,654","59,319","109,410","1,056,391","779,731","3,228,930"
Depreciation,,,,,,,
1 January 2018,225,"378,209",-,"80,556","617,129","466,850","1,542,969"
Charge for the year,204,"50,029",-,"15,700","130,781","119,983","316,697"
Reclassification,-,"(2,589)",-,-,"2,922",(333),-
Disposals,(586),"(1,800)",-,"(15,035)","(4,497)",(832),"(22,750)"
Translation differences,16,"8,006",-,"4,280","11,636","2,654","26,592"
At 31 December 2018,(141),"431,855",-,"85,501","757,971","588,322","1,863,508"
Net book value,,,,,,,
At 31 December 2018,"651,566","140,799","59,319","23,909","298,420","191,409","1,365,422"
