Group,"Lands &
Buildings","Leasehold
Improve-
ments","Motor
vehicles","Furniture,
fixtures and
fittings","Computer
Equipment",Total
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Year ended 31 December 2010,,,,,,
Cost or valuation,,,,,,
At start of year,"360,300","158,274","16,856","151,625","84,724","771,779"
Additions,-,"15,570",-,"59,221","22,676","97,467"
Disposals,-,-,-,(324),"(1,512)","(1,836)"
Valuation,"13,533",-,-,-,-,"13,533"
At end of year,"373,833","173,844","16,856","210,521","105,888","880,944"
Depreciation,,,,,,
At start of year,-,"117,639","7,913","79,305","45,989","250,846"
Charge for the year,-,"9,923","3,213","22,779","12,869","48,784"
Additions,-,-,-,-,296,296
Disposal,-,-,-,(26),(377),(404)
At end of year,-,"127,564","11,127","102,058","58,775","299,524"
Net book amount,,,,,,
At 1 January 2010,"360,300","40,635","8,943","72,320","38,735","520,933"
At 31 December 2010,"373,833","46,281","5,728","108,463","47,114","581,420"
