Column,Group,Column,Company,Column
,2019,2018,2019,2018
,Shs’000,Shs’000,Shs’000,Shs’000
Profit/(loss) before income tax,"4,571,023","(2,295,870)","1,702,125","(749,462)"
Tax calculated at a tax rate of 30% (2018: 30%),"1,371,307","(688,761)","510,637","(224,838)"
Add/(less):,,,,
- Tax effect of income not subject to tax,"(596,245)","160,345","(603,111)","172,332"
- Under provision in prior year,"44,987","30,468",-,-
- Deferred tax not recognised (Note 36),"94,668","129,875","82,185","7,206"
- Tax effect of expenses not deductible for tax purposes,"95,133","88,728","16,115","60,164"
-Deferred tax on Day 1 impact of IFRS 9 adjustment through SOCE,-,"193,760",-,"2,275"
-Deferred tax on Day 1 impact of IFRS 16 adjustment,"18,548",-,"12,107",-
Income tax expenses/(credit),"1,028,398","(85,585)","17,933","17,139"
