For the year ended 31 December,Column,Column,Column
,Notes,2019,2018
,,Shs’000,Shs’000
Revenue,,,
Gross earned premium,4,"27,131,870","24,325,111"
Less: Reinsurance premium ceded,4,"(4,021,978)","(3,263,451)"
Net earned premiums,4,"23,109,892","21,061,660"
Fund management fees,4,"535,414","661,113"
Net (loss)/income from investment properties and property funds,5,"(747,036)","507,207"
Interest and dividend income,6,"7,713,830","6,160,381"
Net realised gains on financial assets at fair value through profit or loss,7,"477,661","41,898"
Net unrealised fair value gains/(losses) on financial assets,8,"4,300,055","(3,091,171)"
Commission earned,9,"999,870","857,381"
Other income,10,"56,566","195,142"
Total income,,"36,446,252","26,393,611"
Expenses,,,
Insurance claims and loss adjustment expenses,11,"11,979,820","10,704,713"
Amount recoverable from reinsurers,11,"(1,689,234)","(1,630,406)"
Change in actuarial value of policyholders benefits,11,"5,151,919","5,172,833"
Net insurance benefits and claims,11,"15,442,505","14,247,140"
Interest payments/increase in unit value,12,"3,889,475","1,688,638"
Operating and other expenses,13 (i),"8,794,161","8,244,558"
Finance costs,14,"234,667","905,567"
Commission expense,15,"3,461,322","3,313,922"
Total expenses,,"31,822,130","28,399,825"
Profit/(loss) before share of the associate’s results,,"4,624,122","(2,006,214)"
Share of loss of associate accounted for using the equity method,24 (i),"(53,099)","(289,656)"
Profit/(loss) before income tax,,"4,571,023","(2,295,870)"
Income tax (expense)/credit,25,"(1,028,398)","85,585"
Profit/(loss) for the year,,"3,542,625","(2,210,285)"
Profit/(loss) attributable to:,,,
Owners of the parent,,"3,558,283","(2,229,955)"
Non-controlling interests,26 (iii),"(15,658)","19,670"
Earnings per share for profit/(loss) attributable to the owners of the parent,,,
- Basic and diluted (Shs per share),19,1.41,(0.92)
